,longitude,latitude,hashtags,date_taken,url,cluster
41999,4.8337,45.767,"[vision:outdoor=0629, vision:dark=0659, fêtedeslumièreslyon2013]",6/12/2013_23:9,http://farm4.staticflickr.com/3827/11247665356_e798126ea3_t.jpg,0
50555,4.8335,45.768,"[lyon, illuminations, fêtedeslumières, 8décembre]",7/12/2007_23:0,http://farm3.staticflickr.com/2109/2125855418_00f583861d_t.jpg,0
21069,4.8336,45.768,"[light, lyon, lumieres, placedesterreaux, terreaux, muséedesbeauxarts, fetedeslumieres]",6/12/2009_19:42,http://farm2.staticflickr.com/1029/5188087014_5428cd5c21_t.jpg,0
886,4.8338,45.768,"[lyon, 2008, fetedeslumieres]",7/12/2008_23:3,http://farm4.staticflickr.com/3224/3121090530_a2d52c9c59_t.jpg,0
43920,4.8336,45.767,"[light, france, festival, lights, europe, lyon, rhône, 69, fête, premier, 2009, festivaloflights, lumières, 1er, december8th, fêtedeslumières, 8décembre, grandlyon, rhônealpes, december8, 8dec, dec8, 8december, 1erarrondissement, 69001, 8thdecember, lyon1, premierarrondissement, fêtedeslumières2009]",7/12/2009_19:36,http://farm3.staticflickr.com/2763/4176989194_f0576f418d_t.jpg,0
2654,4.8336,45.768,"[france, lyon, 2012, rhônealpes, fetedeslumières]",6/12/2012_22:5,http://farm9.staticflickr.com/8341/8265624310_ab2f76633f_t.jpg,0
22956,4.8333,45.768,"[lyon, des, fête, 2009, lumières]",8/12/2009_19:44,http://farm3.staticflickr.com/2782/4169879086_2e1b183ea5_t.jpg,0
51558,4.8336,45.768,"[france, lights, lyon, fete, lumieres, placedesterreaux, fetedeslumieres]",9/12/2010_22:31,http://farm6.staticflickr.com/5085/5247860260_5c9a32ab00_t.jpg,0
40460,4.8336,45.768,"[light, france, lyon, lumiere, fetedeslumieres]",8/12/2007_22:43,http://farm5.staticflickr.com/4132/5190278394_7db6e74d46_t.jpg,0
2530,4.8335,45.768,"[france, lyon, 2007, rhônealpes, fetedeslumieres]",6/12/2007_19:34,http://farm3.staticflickr.com/2298/2284035147_c144761c48_t.jpg,0
53364,4.8334,45.768,"[travel, winter, france, europe, december, lyon, hiver, 2008, décembre, fêtedeslumières, placedesterreaux]",6/12/2008_23:34,http://farm4.staticflickr.com/3607/3478109372_e6b7f26aae_t.jpg,0
24168,4.8334,45.768,"[light, night, lyon, lumière, nuit]",6/12/2008_23:9,http://farm8.staticflickr.com/7031/6529275975_5d01da65c6_t.jpg,0
58823,4.8333,45.768,"[lyon, 8décembre2006]",6/12/2006_0:33,http://farm3.staticflickr.com/2350/1658740530_efd47c2be2_t.jpg,0
24251,4.8334,45.768,"[france, place, lyon, fêtedeslumières, lightfestival, terreaux, 2011, transenocturne]",8/12/2011_22:1,http://farm8.staticflickr.com/7152/6575094025_199f6e7cc2_t.jpg,0
1619,4.8335,45.768,"[lyon, illuminations, fêtedeslumières, 8décembre]",7/12/2007_22:58,http://farm3.staticflickr.com/2289/2125854832_efcf2bf47d_t.jpg,0
40465,4.8335,45.768,"[lyon, illuminations, fêtedeslumières, 8décembre]",7/12/2007_22:56,http://farm3.staticflickr.com/2374/2125847816_dbce454a3f_t.jpg,0
16992,4.8334,45.768,"[france, place, lyon, sortie, fêtedeslumières, lightfestival, terreaux, 2011, transenocturne]",8/12/2011_22:13,http://farm8.staticflickr.com/7028/6751046199_93ed859b54_t.jpg,0
17725,4.8336,45.768,"[france, lyon, fr, rhônealpes, vision:outdoor=0625, vision:dark=094]",6/12/2013_21:56,http://farm4.staticflickr.com/3667/11312962446_7d16bb8532_t.jpg,0
44022,4.8334,45.768,"[france, place, lyon, fêtedeslumières, lightfestival, terreaux, 2011, transenocturne]",8/12/2011_22:12,http://farm8.staticflickr.com/7003/6741270789_64e08f9154_t.jpg,0
24383,4.8335,45.767,"[night, 350d, lights, lyon, lumière, tamron, nuit, fêtedeslumières, 1750mm]",6/12/2007_23:50,http://farm3.staticflickr.com/2332/2095267730_01975b4524_t.jpg,0
15534,4.8333,45.768,"[lyon, lumières, 2007]",9/12/2007_18:36,http://farm3.staticflickr.com/2231/2104402678_29b231528e_t.jpg,0
24448,4.8331,45.768,"[geotagged, lyon, 2009, fêtedeslumières, placedesterreaux, muséedesbeauxarts, christianbaudet]",6/12/2009_17:15,http://farm3.staticflickr.com/2509/4197799525_a4bfceea99_t.jpg,0
19865,4.8341,45.768,"[france, lights, licht, frankreich, colours, lyon, couleurs, prince, townhall, frankrijk, rathaus, francia, lumières, hôteldeville, fêtedeslumières, placedesterreaux, rhônealpes, flickrstruereflection1, vision:outdoor=0657, vision:sky=0628, vision:dark=0806]",6/12/2013_18:23,http://farm8.staticflickr.com/7412/11289198506_d5b42907f7_t.jpg,0
24461,4.8335,45.767,"[night, 350d, lights, lyon, lumière, tamron, nuit, fêtedeslumières, 1750mm]",6/12/2007_23:51,http://farm3.staticflickr.com/2244/2094496601_1279fc55c6_t.jpg,0
40450,4.8336,45.768,"[light, france, lyon, lumiere, fetedeslumieres]",8/12/2007_22:45,http://farm5.staticflickr.com/4085/5190284588_fd2e010241_t.jpg,0
41102,4.833,45.768,"[lyon, rhône, des, fête, lumières, 2013, vision:sunset=0539, vision:outdoor=0659, vision:plant=054, vision:sky=0545, vision:dark=0806]",7/12/2013_1:34,http://farm4.staticflickr.com/3819/11244262145_1d807df1a4_t.jpg,0
22701,4.8335,45.768,"[france, night, flickr, december, lyon, nuit, rho?nealpes, fe?tedeslumie?res]",6/12/2008_17:20,http://farm4.staticflickr.com/3160/3087558875_b3c02a6596_t.jpg,0
1709,4.8336,45.768,"[france, lights, lyon, fete, lumieres, placedesterreaux, fetedeslumieres]",9/12/2010_22:31,http://farm6.staticflickr.com/5209/5247834092_e054b19902_t.jpg,0
40682,4.8336,45.768,"[light, france, lyon, lumiere, fetedeslumieres]",8/12/2007_22:42,http://farm2.staticflickr.com/1304/5190276644_c8ef30b87f_t.jpg,0
16028,4.8336,45.767,"[light, france, festival, lights, europe, lyon, rhône, 69, fête, premier, 2009, festivaloflights, lumières, 1er, december8th, fêtedeslumières, 8décembre, grandlyon, rhônealpes, december8, 8dec, dec8, 8december, 1erarrondissement, 69001, 8thdecember, lyon1, premierarrondissement, fêtedeslumières2009]",7/12/2009_19:41,http://farm3.staticflickr.com/2741/4176249049_b16b08721e_t.jpg,0
16826,4.8332,45.767,"[france, lyon, rhône, highlights, fêtedeslumières, placedesterreaux, rhônealpes, lumières2012, lyonlumières2012, hélènerichardetjeanmichelquesne, skertzoetc]",9/12/2012_21:55,http://farm9.staticflickr.com/8495/8273373936_586f67d1d3_t.jpg,0
2283,4.8337,45.767,"[vision:text=0504, vision:dark=0846, fêtedeslumièreslyon2013]",6/12/2013_23:9,http://farm6.staticflickr.com/5527/11247707016_f97773c956_t.jpg,0
51177,4.8334,45.767,"[lyon, des, fete, lumieres, 2007, fetes, fetesdeslumieres]",8/12/2007_21:30,http://farm3.staticflickr.com/2362/2098665668_80e0e30047_t.jpg,0
